year,artist,track,time,genre,week,rank,date
2000,"McEntire, Reba",What Do You Say,03:26,Country,1,88,30/10/1999
2000,Amber,Sexual (Li Da Di),04:38,Rock,16,98,30/10/1999
2000,IMx,Stay The Night,03:37,Rap,5,40,06/11/1999
2000,Savage Garden,I Knew I Loved You,04:07,Rock,3,43,06/11/1999
2000,Train,Meet Virginia,03:55,Rock,5,48,06/11/1999
2000,Blaque,Bring It All To Me,03:46,Pop,3,50,06/11/1999
2000,"Rimes, LeAnn",Big Deal,03:03,Country,4,51,06/11/1999
2000,Creed,Higher,05:16,Rock,9,56,06/11/1999
2000,Smash Mouth,Then The Morning Comes,03:04,Rock,2,59,06/11/1999
2000,Foo Fighters,Learn To Fly,03:55,Rock,4,63,06/11/1999
2000,"Houston, Whitney",My Love Is Your Love,04:16,Rock,10,7,06/11/1999
2000,"Jordan, Montell",Get It On.. Tonite,04:34,Rap,3,72,06/11/1999
2000,"McEntire, Reba",What Do You Say,03:26,Country,2,76,06/11/1999
2000,"Hill, Faith",Breathe,04:04,Rap,1,81,06/11/1999
2000,Counting Crows,Hanginaround,04:07,Rock,1,84,06/11/1999
2000,Amber,Sexual (Li Da Di),04:38,Rock,17,98,06/11/1999
2000,Savage Garden,I Knew I Loved You,04:07,Rock,4,31,13/11/1999
2000,IMx,Stay The Night,03:37,Rap,6,38,13/11/1999
2000,Blaque,Bring It All To Me,03:46,Pop,4,42,13/11/1999
2000,Train,Meet Virginia,03:55,Rock,6,45,13/11/1999
2000,"Rimes, LeAnn",Big Deal,03:03,Country,5,51,13/11/1999
2000,Smash Mouth,Then The Morning Comes,03:04,Rock,3,56,13/11/1999
2000,Creed,Higher,05:16,Rock,10,57,13/11/1999
2000,Foo Fighters,Learn To Fly,03:55,Rock,5,60,13/11/1999
2000,"Hill, Faith",Breathe,04:04,Rap,2,68,13/11/1999
2000,"Jordan, Montell",Get It On.. Tonite,04:34,Rap,4,69,13/11/1999
2000,Counting Crows,Hanginaround,04:07,Rock,2,70,13/11/1999
2000,"McEntire, Reba",What Do You Say,03:26,Country,3,71,13/11/1999
2000,"Dion, Celine",That's The Way It Is,04:03,Rock,1,74,13/11/1999
2000,"Jackson, Alan",Pop A Top,03:04,Country,1,79,13/11/1999
2000,"Houston, Whitney",My Love Is Your Love,04:16,Rock,11,8,13/11/1999
2000,"Blige, Mary J.",Deep Inside,05:26,Rock,1,83,13/11/1999
2000,Fatboy Slim,The Rockafeller Skank,04:00,Electronica,1,94,13/11/1999
2000,Savage Garden,I Knew I Loved You,04:07,Rock,5,20,20/11/1999
2000,Blaque,Bring It All To Me,03:46,Pop,5,24,20/11/1999
2000,IMx,Stay The Night,03:37,Rap,7,36,20/11/1999
2000,Train,Meet Virginia,03:55,Rock,7,40,20/11/1999
2000,Smash Mouth,Then The Morning Comes,03:04,Rock,4,46,20/11/1999
2000,"Rimes, LeAnn",Big Deal,03:03,Country,6,48,20/11/1999
2000,Foo Fighters,Learn To Fly,03:55,Rock,6,52,20/11/1999
2000,Creed,Higher,05:16,Rock,11,57,20/11/1999
2000,"Hill, Faith",Breathe,04:04,Rap,3,62,20/11/1999
2000,Counting Crows,Hanginaround,04:07,Rock,3,66,20/11/1999
2000,"Jordan, Montell",Get It On.. Tonite,04:34,Rap,5,67,20/11/1999
2000,"Dion, Celine",That's The Way It Is,04:03,Rock,2,68,20/11/1999
2000,"McEntire, Reba",What Do You Say,03:26,Country,4,71,20/11/1999
2000,M2M,Don't Say You Love Me,03:41,Pop,1,72,20/11/1999
2000,"Jackson, Alan",Pop A Top,03:04,Country,2,73,20/11/1999
2000,"Martin, Ricky",Shake Your Bon-Bon,03:08,Latin,1,74,20/11/1999
2000,"Houston, Whitney",My Love Is Your Love,04:16,Rock,12,8,20/11/1999
2000,"Blige, Mary J.",Deep Inside,05:26,Rock,2,80,20/11/1999
2000,"Williams, Robbie",Angels,03:56,Rock,1,85,20/11/1999
2000,Sisqo,Got To Get It,03:52,Rock,1,92,20/11/1999
2000,Fatboy Slim,The Rockafeller Skank,04:00,Electronica,2,94,20/11/1999
2000,Amber,Sexual (Li Da Di),04:38,Rock,19,95,20/11/1999
2000,Savage Garden,I Knew I Loved You,04:07,Rock,6,13,27/11/1999
2000,Blaque,Bring It All To Me,03:46,Pop,6,19,27/11/1999
2000,Smash Mouth,Then The Morning Comes,03:04,Rock,5,27,27/11/1999
2000,IMx,Stay The Night,03:37,Rap,8,31,27/11/1999
2000,Train,Meet Virginia,03:55,Rock,8,32,27/11/1999
2000,"Elliott, Missy ""Misdemeanor""",Hot Boyz,03:51,Rap,1,36,27/11/1999
2000,"Rimes, LeAnn",Big Deal,03:03,Country,7,41,27/11/1999
2000,Foo Fighters,Learn To Fly,03:55,Rock,7,42,27/11/1999
2000,"Hill, Faith",Breathe,04:04,Rap,4,51,27/11/1999
2000,M2M,Don't Say You Love Me,03:41,Pop,2,53,27/11/1999
2000,Creed,Higher,05:16,Rock,12,57,27/11/1999
2000,"Houston, Whitney",My Love Is Your Love,04:16,Rock,13,6,27/11/1999
2000,Counting Crows,Hanginaround,04:07,Rock,4,60,27/11/1999
2000,"Jordan, Montell",Get It On.. Tonite,04:34,Rap,6,61,27/11/1999
2000,"Dion, Celine",That's The Way It Is,04:03,Rock,3,65,27/11/1999
2000,"Martin, Ricky",Shake Your Bon-Bon,03:08,Latin,2,66,27/11/1999
2000,"McEntire, Reba",What Do You Say,03:26,Country,5,69,27/11/1999
2000,"Jackson, Alan",Pop A Top,03:04,Country,3,70,27/11/1999
2000,"Aguilera, Christina",What A Girl Wants,03:18,Rock,1,71,27/11/1999
2000,Sisqo,Got To Get It,03:52,Rock,2,76,27/11/1999
2000,"Williams, Robbie",Angels,03:56,Rock,2,77,27/11/1999
2000,"Dixie Chicks, The",Cowboy Take Me Away,04:51,Country,1,79,27/11/1999
2000,"Blige, Mary J.",Deep Inside,05:26,Rock,3,80,27/11/1999
2000,"McGraw, Tim",My Best Friend,04:33,Country,1,85,27/11/1999
2000,Amber,Sexual (Li Da Di),04:38,Rock,20,88,27/11/1999
2000,Filter,Take A Picture,04:23,Rock,1,91,27/11/1999
2000,Fatboy Slim,The Rockafeller Skank,04:00,Electronica,3,94,27/11/1999
2000,"Hart, Beth",L.A. Song,03:47,Country,1,99,27/11/1999
2000,"Hart, Beth",L.A. Song,03:47,Country,2,100,04/12/1999
2000,Blaque,Bring It All To Me,03:46,Pop,7,17,04/12/1999
2000,"Elliott, Missy ""Misdemeanor""",Hot Boyz,03:51,Rap,2,21,04/12/1999
2000,Smash Mouth,Then The Morning Comes,03:04,Rock,6,23,04/12/1999
2000,Train,Meet Virginia,03:55,Rock,9,26,04/12/1999
2000,Foo Fighters,Learn To Fly,03:55,Rock,8,32,04/12/1999
2000,IMx,Stay The Night,03:37,Rap,9,34,04/12/1999
2000,"Rimes, LeAnn",Big Deal,03:03,Country,8,37,04/12/1999
2000,"Hill, Faith",Breathe,04:04,Rap,5,42,04/12/1999
2000,Counting Crows,Hanginaround,04:07,Rock,5,46,04/12/1999
2000,"Dion, Celine",That's The Way It Is,04:03,Rock,4,49,04/12/1999
2000,"Aguilera, Christina",What A Girl Wants,03:18,Rock,2,51,04/12/1999
2000,"Martin, Ricky",Shake Your Bon-Bon,03:08,Latin,3,52,04/12/1999
2000,"Jordan, Montell",Get It On.. Tonite,04:34,Rap,7,54,04/12/1999
2000,Creed,Higher,05:16,Rock,13,57,04/12/1999
2000,"Houston, Whitney",My Love Is Your Love,04:16,Rock,14,6,04/12/1999
2000,M2M,Don't Say You Love Me,03:41,Pop,3,62,04/12/1999
2000,"McEntire, Reba",What Do You Say,03:26,Country,6,63,04/12/1999
2000,"Jackson, Alan",Pop A Top,03:04,Country,4,64,04/12/1999
2000,"Williams, Robbie",Angels,03:56,Rock,3,69,04/12/1999
2000,Savage Garden,I Knew I Loved You,04:07,Rock,7,7,04/12/1999
2000,"Dixie Chicks, The",Cowboy Take Me Away,04:51,Country,2,72,04/12/1999
2000,Sisqo,Got To Get It,03:52,Rock,3,73,04/12/1999
2000,Filter,Take A Picture,04:23,Rock,2,74,04/12/1999
2000,"Blige, Mary J.",Deep Inside,05:26,Rock,4,75,04/12/1999
2000,"McGraw, Tim",My Best Friend,04:33,Country,2,76,04/12/1999
2000,Kelis,Caught Out There,04:09,R&B,1,84,04/12/1999
2000,Ice Cube,You Can Do It,04:20,Rap,1,86,04/12/1999
2000,Fatboy Slim,The Rockafeller Skank,04:00,Electronica,4,87,04/12/1999
2000,Amber,Sexual (Li Da Di),04:38,Rock,21,88,04/12/1999
2000,Blink-182,All The Small Things,02:52,Rock,1,89,04/12/1999
2000,"Iglesias, Enrique",Rhythm Divine,07:35,Latin,1,90,04/12/1999
2000,Limp Bizkit,Re-Arranged,04:08,Rock,1,91,04/12/1999
2000,Limp Bizkit,N 2 Gether Now,03:55,Rock,1,94,04/12/1999
2000,"Walker, Clay","Live, Laugh, Love",04:06,Country,1,95,04/12/1999
2000,Lil Wayne,Tha Block Is Hot,04:13,Rap,1,99,04/12/1999
2000,"Elliott, Missy ""Misdemeanor""",Hot Boyz,03:51,Rap,3,13,11/12/1999
2000,Blaque,Bring It All To Me,03:46,Pop,8,14,11/12/1999
2000,Smash Mouth,Then The Morning Comes,03:04,Rock,7,19,11/12/1999
2000,Train,Meet Virginia,03:55,Rock,10,24,11/12/1999
2000,"Aguilera, Christina",What A Girl Wants,03:18,Rock,3,28,11/12/1999
2000,"Rimes, LeAnn",Big Deal,03:03,Country,9,29,11/12/1999
2000,Foo Fighters,Learn To Fly,03:55,Rock,9,30,11/12/1999
2000,IMx,Stay The Night,03:37,Rap,10,34,11/12/1999
2000,"Hill, Faith",Breathe,04:04,Rap,6,35,11/12/1999
2000,Counting Crows,Hanginaround,04:07,Rock,6,37,11/12/1999
2000,"Martin, Ricky",Shake Your Bon-Bon,03:08,Latin,4,39,11/12/1999
2000,"Jordan, Montell",Get It On.. Tonite,04:34,Rap,8,43,11/12/1999
2000,"Dion, Celine",That's The Way It Is,04:03,Rock,5,44,11/12/1999
2000,M2M,Don't Say You Love Me,03:41,Pop,4,46,11/12/1999
2000,"Houston, Whitney",My Love Is Your Love,04:16,Rock,15,5,11/12/1999
2000,Jagged Edge,He Can't Love U,03:30,Rock,1,54,11/12/1999
2000,"McEntire, Reba",What Do You Say,03:26,Country,7,56,11/12/1999
2000,Creed,Higher,05:16,Rock,14,57,11/12/1999
2000,Sisqo,Got To Get It,03:52,Rock,4,58,11/12/1999
2000,Savage Garden,I Knew I Loved You,04:07,Rock,8,6,11/12/1999
2000,"Jackson, Alan",Pop A Top,03:04,Country,5,63,11/12/1999
2000,Filter,Take A Picture,04:23,Rock,3,64,11/12/1999
2000,Ice Cube,You Can Do It,04:20,Rap,2,66,11/12/1999
2000,Eiffel 65,Blue (Da Ba Dee),03:29,Electronica,1,67,11/12/1999
2000,Kelis,Caught Out There,04:09,R&B,2,68,11/12/1999
2000,"Williams, Robbie",Angels,03:56,Rock,4,69,11/12/1999
2000,"Dixie Chicks, The",Cowboy Take Me Away,04:51,Country,3,70,11/12/1999
2000,"McGraw, Tim",My Best Friend,04:33,Country,3,71,11/12/1999
2000,"Blige, Mary J.",Deep Inside,05:26,Rock,5,75,11/12/1999
2000,Blink-182,All The Small Things,02:52,Rock,2,76,11/12/1999
2000,Fatboy Slim,The Rockafeller Skank,04:00,Electronica,5,77,11/12/1999
2000,Amber,Sexual (Li Da Di),04:38,Rock,22,79,11/12/1999
2000,"Carey, Mariah",Thank God I Found You,04:14,Rock,1,82,11/12/1999
2000,"Iglesias, Enrique",Rhythm Divine,07:35,Latin,2,84,11/12/1999
2000,Limp Bizkit,N 2 Gether Now,03:55,Rock,2,88,11/12/1999
2000,Lil Wayne,Tha Block Is Hot,04:13,Rap,2,89,11/12/1999
2000,Limp Bizkit,Re-Arranged,04:08,Rock,2,91,11/12/1999
2000,D'Angelo,Left & Right,04:35,R&B,1,93,11/12/1999
2000,Ginuwine,None Of Ur Friends Business,04:12,Rock,1,94,11/12/1999
2000,"Walker, Clay","Live, Laugh, Love",04:06,Country,2,95,11/12/1999
2000,"Hart, Beth",L.A. Song,03:47,Country,3,98,11/12/1999
2000,Blaque,Bring It All To Me,03:46,Pop,9,11,18/12/1999
2000,Smash Mouth,Then The Morning Comes,03:04,Rock,8,16,18/12/1999
2000,"Aguilera, Christina",What A Girl Wants,03:18,Rock,4,18,18/12/1999
2000,Train,Meet Virginia,03:55,Rock,11,22,18/12/1999
2000,Foo Fighters,Learn To Fly,03:55,Rock,10,25,18/12/1999
2000,"Rimes, LeAnn",Big Deal,03:03,Country,10,26,18/12/1999
2000,"Hill, Faith",Breathe,04:04,Rap,7,28,18/12/1999
2000,Eiffel 65,Blue (Da Ba Dee),03:29,Electronica,2,29,18/12/1999
2000,Jagged Edge,He Can't Love U,03:30,Rock,2,32,18/12/1999
2000,"Dion, Celine",That's The Way It Is,04:03,Rock,6,34,18/12/1999
2000,Counting Crows,Hanginaround,04:07,Rock,7,35,18/12/1999
2000,"Jordan, Montell",Get It On.. Tonite,04:34,Rap,9,38,18/12/1999
2000,"Martin, Ricky",Shake Your Bon-Bon,03:08,Latin,5,39,18/12/1999
2000,Savage Garden,I Knew I Loved You,04:07,Rock,9,4,18/12/1999
2000,IMx,Stay The Night,03:37,Rap,11,40,18/12/1999
2000,Guy,Dancin',04:08,R&B,1,46,18/12/1999
2000,Sisqo,Got To Get It,03:52,Rock,5,48,18/12/1999
2000,"Houston, Whitney",My Love Is Your Love,04:16,Rock,16,5,18/12/1999
2000,Ice Cube,You Can Do It,04:20,Rap,3,50,18/12/1999
2000,"McEntire, Reba",What Do You Say,03:26,Country,8,51,18/12/1999
2000,Filter,Take A Picture,04:23,Rock,4,52,18/12/1999
2000,M2M,Don't Say You Love Me,03:41,Pop,5,54,18/12/1999
2000,"Jackson, Alan",Pop A Top,03:04,Country,6,57,18/12/1999
2000,Creed,Higher,05:16,Rock,15,60,18/12/1999
2000,"Dixie Chicks, The",Cowboy Take Me Away,04:51,Country,4,61,18/12/1999
2000,"Williams, Robbie",Angels,03:56,Rock,5,62,18/12/1999
2000,"McGraw, Tim",My Best Friend,04:33,Country,4,64,18/12/1999
2000,Kelis,Caught Out There,04:09,R&B,3,67,18/12/1999
2000,"Carey, Mariah",Thank God I Found You,04:14,Rock,2,68,18/12/1999
2000,Blink-182,All The Small Things,02:52,Rock,3,69,18/12/1999
2000,"Blige, Mary J.",Deep Inside,05:26,Rock,6,73,18/12/1999
2000,Amber,Sexual (Li Da Di),04:38,Rock,23,76,18/12/1999
2000,D'Angelo,Left & Right,04:35,R&B,2,77,18/12/1999
2000,Fatboy Slim,The Rockafeller Skank,04:00,Electronica,6,77,18/12/1999
2000,"Iglesias, Enrique",Rhythm Divine,07:35,Latin,3,79,18/12/1999
2000,Ginuwine,None Of Ur Friends Business,04:12,Rock,2,84,18/12/1999
2000,Limp Bizkit,N 2 Gether Now,03:55,Rock,3,85,18/12/1999
2000,Lonestar,Smile,03:33,Country,1,89,18/12/1999
2000,"Elliott, Missy ""Misdemeanor""",Hot Boyz,03:51,Rap,4,9,18/12/1999
2000,Limp Bizkit,Re-Arranged,04:08,Rock,3,90,18/12/1999
2000,Lil Wayne,Tha Block Is Hot,04:13,Rap,3,92,18/12/1999
2000,"Walker, Clay","Live, Laugh, Love",04:06,Country,3,94,18/12/1999
2000,"Hart, Beth",L.A. Song,03:47,Country,4,99,18/12/1999
2000,"Aguilera, Christina",What A Girl Wants,03:18,Rock,5,13,25/12/1999
2000,Smash Mouth,Then The Morning Comes,03:04,Rock,9,14,25/12/1999
2000,Eiffel 65,Blue (Da Ba Dee),03:29,Electronica,3,16,25/12/1999
2000,Jagged Edge,He Can't Love U,03:30,Rock,3,17,25/12/1999
2000,Train,Meet Virginia,03:55,Rock,12,21,25/12/1999
2000,Foo Fighters,Learn To Fly,03:55,Rock,11,22,25/12/1999
2000,"Jordan, Montell",Get It On.. Tonite,04:34,Rap,10,24,25/12/1999
2000,"Rimes, LeAnn",Big Deal,03:03,Country,11,26,25/12/1999
2000,"Hill, Faith",Breathe,04:04,Rap,8,28,25/12/1999
2000,Guy,Dancin',04:08,R&B,2,29,25/12/1999
2000,"Dion, Celine",That's The Way It Is,04:03,Rock,7,30,25/12/1999
2000,Counting Crows,Hanginaround,04:07,Rock,8,35,25/12/1999
2000,IMx,Stay The Night,03:37,Rap,12,36,25/12/1999
2000,Filter,Take A Picture,04:23,Rock,5,38,25/12/1999
2000,"Martin, Ricky",Shake Your Bon-Bon,03:08,Latin,6,39,25/12/1999
2000,Savage Garden,I Knew I Loved You,04:07,Rock,10,4,25/12/1999
2000,Ice Cube,You Can Do It,04:20,Rap,4,42,25/12/1999
2000,M2M,Don't Say You Love Me,03:41,Pop,6,44,25/12/1999
2000,Lonestar,Amazed,04:25,Country,30,45,25/12/1999
2000,"McEntire, Reba",What Do You Say,03:26,Country,9,46,25/12/1999
2000,Sisqo,Got To Get It,03:52,Rock,6,48,25/12/1999
2000,"Houston, Whitney",My Love Is Your Love,04:16,Rock,17,5,25/12/1999
2000,"Carey, Mariah",Thank God I Found You,04:14,Rock,3,50,25/12/1999
2000,"Dixie Chicks, The",Cowboy Take Me Away,04:51,Country,5,52,25/12/1999
2000,"McGraw, Tim",My Best Friend,04:33,Country,5,54,25/12/1999
2000,"Jackson, Alan",Pop A Top,03:04,Country,7,55,25/12/1999
2000,"Williams, Robbie",Angels,03:56,Rock,6,56,25/12/1999
2000,Blink-182,All The Small Things,02:52,Rock,4,59,25/12/1999
2000,Creed,Higher,05:16,Rock,16,61,25/12/1999
2000,Kelis,Caught Out There,04:09,R&B,4,63,25/12/1999
2000,"Blige, Mary J.",Deep Inside,05:26,Rock,7,64,25/12/1999
2000,"Iglesias, Enrique",Rhythm Divine,07:35,Latin,4,67,25/12/1999
2000,Amber,Sexual (Li Da Di),04:38,Rock,24,69,25/12/1999
2000,"Elliott, Missy ""Misdemeanor""",Hot Boyz,03:51,Rap,5,7,25/12/1999
2000,Ginuwine,None Of Ur Friends Business,04:12,Rock,3,71,25/12/1999
2000,D'Angelo,Left & Right,04:35,R&B,3,75,25/12/1999
2000,Limp Bizkit,N 2 Gether Now,03:55,Rock,4,78,25/12/1999
2000,R.E.M.,The Great Beyond,04:10,Rock,1,79,25/12/1999
2000,Lonestar,Smile,03:33,Country,2,80,25/12/1999
2000,Destiny's Child,Say My Name,04:31,Rock,1,83,25/12/1999
2000,Fatboy Slim,The Rockafeller Skank,04:00,Electronica,7,83,25/12/1999
2000,Lil Wayne,Tha Block Is Hot,04:13,Rap,4,84,25/12/1999
2000,"Stone, Angie",No More Rain (In This Cloud),04:42,R&B,1,86,25/12/1999
2000,Kenny G,Auld Lang Syne (The Millenium Mix),07:50,Jazz,1,89,25/12/1999
2000,Blaque,Bring It All To Me,03:46,Pop,10,9,25/12/1999
2000,"Walker, Clay","Live, Laugh, Love",04:06,Country,4,94,25/12/1999
2000,Limp Bizkit,Re-Arranged,04:08,Rock,4,95,25/12/1999
2000,J-Shin,One Night Stand,04:34,R&B,1,96,25/12/1999
2000,SheDaisy,Deck The Halls,03:46,Country,1,97,25/12/1999
2000,"Hart, Beth",L.A. Song,03:47,Country,5,99,25/12/1999
2000,"Aguilera, Christina",What A Girl Wants,03:18,Rock,6,13,01/01/2000
2000,Smash Mouth,Then The Morning Comes,03:04,Rock,10,14,01/01/2000
2000,Eiffel 65,Blue (Da Ba Dee),03:29,Electronica,4,16,01/01/2000
2000,Jagged Edge,He Can't Love U,03:30,Rock,4,17,01/01/2000
2000,Guy,Dancin',04:08,R&B,3,19,01/01/2000
2000,Train,Meet Virginia,03:55,Rock,13,21,01/01/2000
2000,Foo Fighters,Learn To Fly,03:55,Rock,12,22,01/01/2000
2000,"Rimes, LeAnn",Big Deal,03:03,Country,12,23,01/01/2000
2000,"Jordan, Montell",Get It On.. Tonite,04:34,Rap,11,24,01/01/2000
2000,"Hill, Faith",Breathe,04:04,Rap,9,28,01/01/2000
2000,"Dion, Celine",That's The Way It Is,04:03,Rock,8,30,01/01/2000
2000,Counting Crows,Hanginaround,04:07,Rock,9,35,01/01/2000
2000,IMx,Stay The Night,03:37,Rap,13,36,01/01/2000
2000,Filter,Take A Picture,04:23,Rock,6,38,01/01/2000
2000,"Martin, Ricky",Shake Your Bon-Bon,03:08,Latin,7,39,01/01/2000
2000,Savage Garden,I Knew I Loved You,04:07,Rock,11,4,01/01/2000
2000,Ice Cube,You Can Do It,04:20,Rap,5,42,01/01/2000
2000,M2M,Don't Say You Love Me,03:41,Pop,7,44,01/01/2000
2000,Lonestar,Amazed,04:25,Country,31,45,01/01/2000
2000,"McEntire, Reba",What Do You Say,03:26,Country,10,46,01/01/2000
2000,Sisqo,Got To Get It,03:52,Rock,7,48,01/01/2000
2000,"Houston, Whitney",My Love Is Your Love,04:16,Rock,18,5,01/01/2000
2000,"Carey, Mariah",Thank God I Found You,04:14,Rock,4,50,01/01/2000
2000,"Dixie Chicks, The",Cowboy Take Me Away,04:51,Country,6,52,01/01/2000
2000,"McGraw, Tim",My Best Friend,04:33,Country,6,54,01/01/2000
2000,"Jackson, Alan",Pop A Top,03:04,Country,8,55,01/01/2000
2000,"Williams, Robbie",Angels,03:56,Rock,7,56,01/01/2000
2000,Blink-182,All The Small Things,02:52,Rock,5,59,01/01/2000
2000,SheDaisy,Deck The Halls,03:46,Country,2,61,01/01/2000
2000,Creed,Higher,05:16,Rock,17,61,01/01/2000
2000,Kelis,Caught Out There,04:09,R&B,5,63,01/01/2000
2000,"Blige, Mary J.",Deep Inside,05:26,Rock,8,64,01/01/2000
2000,"Iglesias, Enrique",Rhythm Divine,07:35,Latin,5,67,01/01/2000
2000,Amber,Sexual (Li Da Di),04:38,Rock,25,69,01/01/2000
2000,"Elliott, Missy ""Misdemeanor""",Hot Boyz,03:51,Rap,6,7,01/01/2000
2000,D'Angelo,Left & Right,04:35,R&B,4,70,01/01/2000
2000,Ginuwine,None Of Ur Friends Business,04:12,Rock,4,71,01/01/2000
2000,"Backstreet Boys, The",Show Me The Meaning Of Being Lonely,03:54,Rock,1,74,01/01/2000
2000,Limp Bizkit,N 2 Gether Now,03:55,Rock,5,78,01/01/2000
2000,R.E.M.,The Great Beyond,04:10,Rock,2,79,01/01/2000
2000,Lonestar,Smile,03:33,Country,3,80,01/01/2000
2000,Fatboy Slim,The Rockafeller Skank,04:00,Electronica,8,82,01/01/2000
2000,Destiny's Child,Say My Name,04:31,Rock,2,83,01/01/2000
2000,Lil Wayne,Tha Block Is Hot,04:13,Rap,5,84,01/01/2000
2000,"Stone, Angie",No More Rain (In This Cloud),04:42,R&B,2,86,01/01/2000
